"Date","Price","Open","High","Low","Vol.","Change %"
"12/17/2024","1,929.50","1,929.50","1,929.50","1,929.50","","2.53%"
"12/12/2024","1,881.90","1,881.90","1,881.90","1,881.90","","-0.40%"
"12/11/2024","1,889.42","1,889.42","1,889.42","1,889.42","","-0.75%"
"12/10/2024","1,903.62","1,903.62","1,903.62","1,903.62","","-0.02%"
"12/09/2024","1,904.05","1,904.05","1,904.05","1,904.05","","-0.41%"
"12/05/2024","1,911.92","1,911.92","1,911.92","1,911.92","","-0.83%"
"12/04/2024","1,927.88","1,927.88","1,927.88","1,927.88","","0.35%"
"12/03/2024","1,921.16","1,921.16","1,921.16","1,921.16","","0.40%"
"12/02/2024","1,913.51","1,913.51","1,913.51","1,913.51","","-0.14%"
"11/28/2024","1,916.23","1,916.23","1,916.23","1,916.23","","-0.06%"
"11/27/2024","1,917.43","1,917.43","1,917.43","1,917.43","","1.22%"
"11/26/2024","1,894.30","1,894.30","1,894.30","1,894.30","","-0.13%"
"11/25/2024","1,896.74","1,896.74","1,896.74","1,896.74","","-1.16%"
"11/21/2024","1,919.05","1,919.05","1,919.05","1,919.05","","-0.81%"
"11/20/2024","1,934.64","1,934.64","1,934.64","1,934.64","","-0.43%"
"11/19/2024","1,942.90","1,942.90","1,942.90","1,942.90","","-1.03%"
"11/18/2024","1,963.08","1,963.08","1,963.08","1,963.08","","-1.17%"
"11/14/2024","1,986.41","1,986.41","1,986.41","1,986.41","","0.72%"
"11/13/2024","1,972.20","1,972.20","1,972.20","1,972.20","","0.11%"
"11/12/2024","1,970.10","1,970.10","1,970.10","1,970.10","","-0.37%"
"11/11/2024","1,977.45","1,977.45","1,977.45","1,977.45","","0.61%"
"11/07/2024","1,965.54","1,965.54","1,965.54","1,965.54","","-0.11%"
"11/06/2024","1,967.75","1,967.75","1,967.75","1,967.75","","0.00%"
"11/05/2024","1,967.76","1,967.76","1,967.76","1,967.76","","1.56%"
"11/04/2024","1,937.59","1,937.59","1,937.59","1,937.59","","0.60%"
"10/31/2024","1,926.05","1,926.05","1,926.05","1,926.05","","0.53%"
"10/30/2024","1,915.86","1,915.86","1,915.86","1,915.86","","3.10%"
"10/29/2024","1,858.28","1,858.28","1,858.28","1,858.28","","2.90%"
"10/28/2024","1,805.89","1,805.89","1,805.89","1,805.89","","-3.90%"
"10/24/2024","1,879.18","1,879.18","1,879.18","1,879.18","","-0.72%"
"10/23/2024","1,892.77","1,892.77","1,892.77","1,892.77","","-1.64%"
"10/22/2024","1,924.34","1,924.34","1,924.34","1,924.34","","1.08%"
"10/21/2024","1,903.79","1,903.79","1,903.79","1,903.79","","-1.38%"
"10/17/2024","1,930.40","1,930.40","1,930.40","1,930.40","","-0.90%"
"10/16/2024","1,947.98","1,947.98","1,947.98","1,947.98","","-0.80%"
"10/15/2024","1,963.73","1,963.73","1,963.73","1,963.73","","-0.29%"
"10/14/2024","1,969.52","1,969.52","1,969.52","1,969.52","","-0.78%"
"10/09/2024","1,984.99","1,984.99","1,984.99","1,984.99","","2.36%"
"10/08/2024","1,939.21","1,939.21","1,939.21","1,939.21","","-0.15%"
"10/07/2024","1,942.22","1,942.22","1,942.22","1,942.22","","-2.44%"
"10/03/2024","1,990.85","1,990.85","1,990.85","1,990.85","","0.14%"
"10/02/2024","1,988.02","1,988.02","1,988.02","1,988.02","","-2.52%"
"10/01/2024","2,039.35","2,039.35","2,039.35","2,039.35","","-0.68%"
"09/30/2024","2,053.36","2,053.36","2,053.36","2,053.36","","-0.56%"
"09/26/2024","2,064.93","2,064.93","2,064.93","2,064.93","","-1.44%"
"09/25/2024","2,095.05","2,095.05","2,095.05","2,095.05","","-0.68%"
"09/24/2024","2,109.45","2,109.45","2,109.45","2,109.45","","0.60%"
