"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2020","4,008.28","4,008.28","4,008.28","4,008.28","","0.00%"
"03/22/2020","4,008.28","3,974.96","4,013.75","3,949.80","","0.84%"
"03/15/2020","3,974.96","4,129.96","4,129.96","3,593.15","","-3.75%"
"03/08/2020","4,129.96","4,384.48","4,393.78","3,998.39","","-5.81%"
"03/01/2020","4,384.48","4,480.22","4,511.25","4,372.75","","-2.14%"
"02/23/2020","4,480.22","4,698.89","4,708.58","4,476.50","","-5.34%"
"02/16/2020","4,733.14","4,564.61","4,826.57","4,564.61","","3.69%"
"02/09/2020","4,564.61","4,452.96","4,569.72","4,374.67","","2.51%"
"02/02/2020","4,452.96","4,469.65","4,526.95","4,443.74","","-0.37%"
"01/26/2020","4,469.65","4,513.89","4,549.79","4,457.77","","-0.98%"
"01/19/2020","4,513.89","4,149.82","4,519.84","4,149.82","","8.77%"
"01/12/2020","4,149.82","4,197.39","4,241.73","4,009.70","","-1.13%"
"01/05/2020","4,197.39","4,459.29","4,465.04","4,187.48","","-5.87%"
"12/29/2019","4,459.29","4,418.83","4,480.39","4,418.83","","0.92%"
"12/22/2019","4,418.83","4,418.83","4,418.83","4,418.83","","-0.85%"
"12/15/2019","4,456.83","4,456.83","4,456.83","4,456.83","","-1.28%"
"12/08/2019","4,514.44","4,514.44","4,514.44","4,514.44","","-3.36%"
"12/01/2019","4,671.33","4,671.33","4,671.33","4,671.33","","-1.27%"
"11/24/2019","4,731.43","4,731.43","4,731.43","4,731.43","","0.53%"
"11/17/2019","4,706.66","4,706.66","4,706.66","4,706.66","","-0.08%"
"11/10/2019","4,710.36","4,710.36","4,710.36","4,710.36","","-1.29%"
"11/03/2019","4,771.91","4,771.91","4,771.91","4,771.91","","1.90%"
"10/27/2019","4,682.90","4,682.90","4,682.90","4,682.90","","-1.87%"
"10/20/2019","4,772.00","4,772.00","4,772.00","4,772.00","","0.02%"
"10/13/2019","4,770.99","4,770.99","4,770.99","4,770.99","","-0.82%"
"10/06/2019","4,810.21","4,810.21","4,810.21","4,810.21","","-2.58%"
"09/29/2019","4,937.82","4,937.82","4,937.82","4,937.82","","-0.62%"
"09/22/2019","4,968.46","4,968.46","4,968.46","4,968.46","","2.32%"
"09/15/2019","4,855.98","4,855.98","4,855.98","4,855.98","","-1.58%"
"09/08/2019","4,933.89","4,933.89","4,933.89","4,933.89","","-1.58%"
"09/01/2019","5,013.01","5,013.01","5,013.01","5,013.01","","-1.62%"
"08/25/2019","5,095.77","5,095.77","5,095.77","5,095.77","","-2.69%"
"08/18/2019","5,236.85","5,236.85","5,236.85","5,236.85","","0.68%"
"08/11/2019","5,201.42","5,201.42","5,201.42","5,201.42","","0.00%"
"08/04/2019","5,201.42","5,201.42","5,201.42","5,201.42","","0.61%"
"07/28/2019","5,169.73","5,169.73","5,169.73","5,169.73","","0.71%"
"07/21/2019","5,133.25","5,133.25","5,133.25","5,133.25","","0.05%"
"07/14/2019","5,130.69","5,130.69","5,130.69","5,130.69","","-1.75%"
"07/07/2019","5,222.30","5,222.30","5,222.30","5,222.30","","-2.95%"
"06/30/2019","5,380.79","5,380.79","5,380.79","5,380.79","","-0.91%"
"06/23/2019","5,430.04","5,430.04","5,430.04","5,430.04","","0.64%"
"06/16/2019","5,395.62","5,395.62","5,395.62","5,395.62","","-1.44%"
"06/09/2019","5,474.30","5,474.30","5,474.30","5,474.30","","1.80%"
"06/02/2019","5,377.74","5,377.74","5,377.74","5,377.74","","0.00%"
"05/26/2019","5,377.74","5,377.74","5,377.74","5,377.74","","2.42%"
"05/19/2019","5,250.59","5,250.59","5,250.59","5,250.59","","0.38%"
"05/12/2019","5,230.78","5,230.78","5,230.78","5,230.78","","-0.85%"
"05/05/2019","5,275.83","5,275.83","5,275.83","5,275.83","","-0.21%"
"04/28/2019","5,286.75","5,286.75","5,286.75","5,286.75","","0.39%"
"04/21/2019","5,266.17","5,266.17","5,266.17","5,266.17","","-1.04%"
"04/14/2019","5,321.41","5,321.41","5,321.41","5,321.41","","-0.09%"
"04/07/2019","5,326.39","5,326.39","5,326.39","5,326.39","","-2.45%"
"03/31/2019","5,459.91","5,459.91","5,459.91","5,459.91","","-0.83%"
"03/24/2019","5,505.49","5,505.49","5,505.49","5,505.49","","-1.16%"
"03/17/2019","5,570.15","5,570.15","5,570.15","5,570.15","","-1.51%"
"03/10/2019","5,655.81","5,655.81","5,655.81","5,655.81","","-0.57%"
"03/03/2019","5,688.45","5,688.45","5,688.45","5,688.45","","-0.41%"
"02/24/2019","5,711.82","5,711.82","5,711.82","5,711.82","","-0.59%"
"02/17/2019","5,745.83","5,745.83","5,745.83","5,745.83","","-0.08%"
"02/10/2019","5,750.29","5,750.29","5,750.29","5,750.29","","-1.06%"
"02/03/2019","5,811.92","5,811.92","5,811.92","5,811.92","","-0.16%"
"01/27/2019","5,821.01","5,821.01","5,821.01","5,821.01","","-2.17%"
"01/20/2019","5,950.01","5,950.01","5,950.01","5,950.01","","2.14%"
"01/13/2019","5,825.57","5,825.57","5,825.57","5,825.57","","0.49%"
"01/06/2019","5,797.30","5,797.30","5,797.30","5,797.30","","3.70%"
"12/30/2018","5,590.47","5,590.47","5,590.47","5,590.47","","3.80%"
"12/23/2018","5,385.64","5,385.64","5,385.64","5,385.64","","2.29%"
"12/16/2018","5,265.31","5,265.31","5,265.31","5,265.31","","0.27%"
"12/09/2018","5,251.01","5,251.01","5,251.01","5,251.01","","-1.53%"
"12/02/2018","5,332.80","5,332.80","5,332.80","5,332.80","","0.98%"
"11/25/2018","5,281.25","5,281.25","5,281.25","5,281.25","","-0.47%"
"11/18/2018","5,305.95","5,305.95","5,305.95","5,305.95","","1.17%"
"11/11/2018","5,244.62","5,244.62","5,244.62","5,244.62","","-0.28%"
"11/04/2018","5,259.11","5,259.11","5,259.11","5,259.11","","0.01%"
"10/28/2018","5,258.47","5,258.47","5,258.47","5,258.47","","-0.45%"
"10/21/2018","5,282.04","5,282.04","5,282.04","5,282.04","","-1.85%"
"10/14/2018","5,381.51","5,381.51","5,381.51","5,381.51","","-0.98%"
"10/07/2018","5,435.01","5,435.01","5,435.01","5,435.01","","0.31%"
"09/30/2018","5,418.27","5,418.27","5,418.27","5,418.27","","1.41%"
"09/23/2018","5,342.88","5,342.88","5,342.88","5,342.88","","-2.27%"
"09/16/2018","5,467.05","5,467.05","5,467.05","5,467.05","","-0.61%"
"09/09/2018","5,500.61","5,500.61","5,500.61","5,500.61","","-1.32%"
"09/02/2018","5,574.24","5,574.24","5,574.24","5,574.24","","-0.47%"
"08/26/2018","5,600.64","5,600.64","5,600.64","5,600.64","","0.53%"
"08/19/2018","5,571.19","5,571.19","5,571.19","5,571.19","","1.89%"
"08/12/2018","5,467.74","5,467.74","5,467.74","5,467.74","","1.12%"
"08/05/2018","5,407.00","5,407.00","5,407.00","5,407.00","","0.13%"
"07/29/2018","5,399.79","5,399.79","5,399.79","5,399.79","","1.78%"
"07/22/2018","5,305.17","5,305.17","5,305.17","5,305.17","","-0.60%"
"07/15/2018","5,337.42","5,337.42","5,337.42","5,337.42","","-0.40%"
"07/08/2018","5,358.90","5,358.90","5,358.90","5,358.90","","-0.06%"
"07/01/2018","5,362.27","5,362.27","5,362.27","5,362.27","","-0.80%"
"06/24/2018","5,405.46","5,405.46","5,405.46","5,405.46","","-0.67%"
"06/17/2018","5,441.75","5,441.75","5,441.75","5,441.75","","1.43%"
"06/10/2018","5,365.22","5,365.22","5,365.22","5,365.22","","-0.03%"
"06/03/2018","5,366.66","5,366.66","5,366.66","5,366.66","","0.43%"
"05/27/2018","5,343.87","5,343.87","5,343.87","5,343.87","","-1.58%"
"05/20/2018","5,429.69","5,429.69","5,429.69","5,429.69","","-0.25%"
"05/13/2018","5,443.30","5,443.30","5,443.30","5,443.30","","-2.58%"
"05/06/2018","5,587.21","5,587.21","5,587.21","5,587.21","","-1.96%"
"04/29/2018","5,698.68","5,698.68","5,698.68","5,698.68","","-1.98%"
"04/22/2018","5,813.79","5,813.79","5,813.79","5,813.79","","-0.51%"
"04/15/2018","5,843.46","5,843.46","5,843.46","5,843.46","","0.52%"
"04/08/2018","5,813.13","5,813.13","5,813.13","5,813.13","","-0.48%"
"04/01/2018","5,841.19","5,841.19","5,841.19","5,841.19","","4.35%"
"03/25/2018","5,597.44","5,597.44","5,597.44","5,597.44","","0.30%"
"03/18/2018","5,580.58","5,580.58","5,580.58","5,580.58","","-2.45%"
"03/11/2018","5,720.59","5,720.59","5,720.59","5,720.59","","-1.84%"
